query,command,description,syntax
What command active directory bulk modify?,ADmodcmd,Active Directory Bulk Modify,"Syntax
      admodcmd [-dn BaseDN] [-p pagesize] [-s] [-server servername]
        [-f LDAPFilter] [modification]

Key
   -dn BaseDN      Base DN to begin the LDAP query.

   modification    Modification to perform:
                   Terminal Server Attributes ➞ Exchange Related Attributes
                   Mailbox Rights ➞ User Account Settings ➞ Custom Attributes                  

   -p pagesize     LDAP Page size to use for query.

   -s              Perform a subtree search 
                   (Default = one level search)

   -server servername
                   The server to make the changes to.
                   by default, changes  are made locally if on a DC.
                   If on a member, DNS is used to find a DC.

   -f LDAPFilter   A Valid LDAP filter to use when enumerating objects
                   The default filter is (objectClass=user)."
I need to active directory bulk modify,ADmodcmd,Active Directory Bulk Modify,"Syntax
      admodcmd [-dn BaseDN] [-p pagesize] [-s] [-server servername]
        [-f LDAPFilter] [modification]

Key
   -dn BaseDN      Base DN to begin the LDAP query.

   modification    Modification to perform:
                   Terminal Server Attributes ➞ Exchange Related Attributes
                   Mailbox Rights ➞ User Account Settings ➞ Custom Attributes                  

   -p pagesize     LDAP Page size to use for query.

   -s              Perform a subtree search 
                   (Default = one level search)

   -server servername
                   The server to make the changes to.
                   by default, changes  are made locally if on a DC.
                   If on a member, DNS is used to find a DC.

   -f LDAPFilter   A Valid LDAP filter to use when enumerating objects
                   The default filter is (objectClass=user)."
How do I address resolution protocol?,ARP,Address Resolution Protocol,"Syntax
   View the contents of the local ARP cache table 
      ARP -a [ip_addr] [-N if_addr]

   Add a static Arp entry for frequent accessed hosts 
      ARP -s ip_addr eth_addr [if_addr]

   Delete an entry 
      ARP -d ip_addr [if_addr]

Key
   -a           Display current ARP entries.
                Can include more than one network interface.
                If ip_addr is specified, the IP and Physical
                addresses for only the specified computer are displayed. 
   -g           Same as -a.

   -N if_addr   Display the ARP entries for the network interface specified
                by if_addr.

   -d ip_addr   Delete the host specified by ip_addr.
                -d *  will delete all hosts.

   -s           Add the host and associates the Internet address ip_addr
                with the Physical address eth_addr.  The Physical address is
                given as 6 hexadecimal bytes separated by hyphens. The entry
                is permanent.

   eth_addr     Specifies a physical address.

   if_addr      If present, this specifies the Internet address of the
                interface whose address translation table should be modified.
                If not present, the first applicable interface will be used."
Show me how to address resolution protocol,ARP,Address Resolution Protocol,"Syntax
   View the contents of the local ARP cache table 
      ARP -a [ip_addr] [-N if_addr]

   Add a static Arp entry for frequent accessed hosts 
      ARP -s ip_addr eth_addr [if_addr]

   Delete an entry 
      ARP -d ip_addr [if_addr]

Key
   -a           Display current ARP entries.
                Can include more than one network interface.
                If ip_addr is specified, the IP and Physical
                addresses for only the specified computer are displayed. 
   -g           Same as -a.

   -N if_addr   Display the ARP entries for the network interface specified
                by if_addr.

   -d ip_addr   Delete the host specified by ip_addr.
                -d *  will delete all hosts.

   -s           Add the host and associates the Internet address ip_addr
                with the Physical address eth_addr.  The Physical address is
                given as 6 hexadecimal bytes separated by hyphens. The entry
                is permanent.

   eth_addr     Specifies a physical address.

   if_addr      If present, this specifies the Internet address of the
                interface whose address translation table should be modified.
                If not present, the first applicable interface will be used."
What command address resolution protocol?,ARP,Address Resolution Protocol,"Syntax
   View the contents of the local ARP cache table 
      ARP -a [ip_addr] [-N if_addr]

   Add a static Arp entry for frequent accessed hosts 
      ARP -s ip_addr eth_addr [if_addr]

   Delete an entry 
      ARP -d ip_addr [if_addr]

Key
   -a           Display current ARP entries.
                Can include more than one network interface.
                If ip_addr is specified, the IP and Physical
                addresses for only the specified computer are displayed. 
   -g           Same as -a.

   -N if_addr   Display the ARP entries for the network interface specified
                by if_addr.

   -d ip_addr   Delete the host specified by ip_addr.
                -d *  will delete all hosts.

   -s           Add the host and associates the Internet address ip_addr
                with the Physical address eth_addr.  The Physical address is
                given as 6 hexadecimal bytes separated by hyphens. The entry
                is permanent.

   eth_addr     Specifies a physical address.

   if_addr      If present, this specifies the Internet address of the
                interface whose address translation table should be modified.
                If not present, the first applicable interface will be used."
I need to address resolution protocol,ARP,Address Resolution Protocol,"Syntax
   View the contents of the local ARP cache table 
      ARP -a [ip_addr] [-N if_addr]

   Add a static Arp entry for frequent accessed hosts 
      ARP -s ip_addr eth_addr [if_addr]

   Delete an entry 
      ARP -d ip_addr [if_addr]

Key
   -a           Display current ARP entries.
                Can include more than one network interface.
                If ip_addr is specified, the IP and Physical
                addresses for only the specified computer are displayed. 
   -g           Same as -a.

   -N if_addr   Display the ARP entries for the network interface specified
                by if_addr.

   -d ip_addr   Delete the host specified by ip_addr.
                -d *  will delete all hosts.

   -s           Add the host and associates the Internet address ip_addr
                with the Physical address eth_addr.  The Physical address is
                given as 6 hexadecimal bytes separated by hyphens. The entry
                is permanent.

   eth_addr     Specifies a physical address.

   if_addr      If present, this specifies the Internet address of the
                interface whose address translation table should be modified.
                If not present, the first applicable interface will be used."
How do I change file extension associations •?,ASSOC,Change file extension associations •,"Syntax

   Read file associations:
   ASSOC
   ASSOC .ext

   Set a file association:
   ASSOC .ext = [fileType]

   Remove a file association:
   ASSOC .ext =

Key
    .ext      : The file extension
    fileType  : The type of file"
Show me how to change file extension associations •,ASSOC,Change file extension associations •,"Syntax

   Read file associations:
   ASSOC
   ASSOC .ext

   Set a file association:
   ASSOC .ext = [fileType]

   Remove a file association:
   ASSOC .ext =

Key
    .ext      : The file extension
    fileType  : The type of file"
What command change file extension associations •?,ASSOC,Change file extension associations •,"Syntax

   Read file associations:
   ASSOC
   ASSOC .ext

   Set a file association:
   ASSOC .ext = [fileType]

   Remove a file association:
   ASSOC .ext =

Key
    .ext      : The file extension
    fileType  : The type of file"
I need to change file extension associations •,ASSOC,Change file extension associations •,"Syntax

   Read file associations:
   ASSOC
   ASSOC .ext

   Set a file association:
   ASSOC .ext = [fileType]

   Remove a file association:
   ASSOC .ext =

Key
    .ext      : The file extension
    fileType  : The type of file"
How do I change file attributes?,ATTRIB,Change file attributes,"Syntax
      ATTRIB [ + attribute | - attribute ] [pathname] [/S [/D]] [/L]

Key
     +    : Turn an attribute ON
     -    : Clear an attribute OFF

 pathname : Drive and/or filename e.g. C:\*.txt
    /S    : Search the pathname including all subfolders.
    /D    : Process folders as well
    /L    : Work on the attributes of the symbolic link versus the target of the Symbolic link.

   attributes: 
        R  Read-only (1)
        A  Archive (32)
        S  System (4)
        H  Hidden (2)

   extended attributes:
        B  SMB Blob Attribute
        E  Encrypted
        C  Compressed (128:read-only)
        I  Not content-indexed

        N  Normal (0: cannot be used for file selection)
        O  Offline
        P  Pinned Attribute This refers to the ""Always available on this device"" setting for OneDrive files.
        T  Temporary 
        X  No scrub file attribute
        U  Unpinned Attribute
        V  Integrity attribute"
Show me how to change file attributes,ATTRIB,Change file attributes,"Syntax
      ATTRIB [ + attribute | - attribute ] [pathname] [/S [/D]] [/L]

Key
     +    : Turn an attribute ON
     -    : Clear an attribute OFF

 pathname : Drive and/or filename e.g. C:\*.txt
    /S    : Search the pathname including all subfolders.
    /D    : Process folders as well
    /L    : Work on the attributes of the symbolic link versus the target of the Symbolic link.

   attributes: 
        R  Read-only (1)
        A  Archive (32)
        S  System (4)
        H  Hidden (2)

   extended attributes:
        B  SMB Blob Attribute
        E  Encrypted
        C  Compressed (128:read-only)
        I  Not content-indexed

        N  Normal (0: cannot be used for file selection)
        O  Offline
        P  Pinned Attribute This refers to the ""Always available on this device"" setting for OneDrive files.
        T  Temporary 
        X  No scrub file attribute
        U  Unpinned Attribute
        V  Integrity attribute"
What command change file attributes?,ATTRIB,Change file attributes,"Syntax
      ATTRIB [ + attribute | - attribute ] [pathname] [/S [/D]] [/L]

Key
     +    : Turn an attribute ON
     -    : Clear an attribute OFF

 pathname : Drive and/or filename e.g. C:\*.txt
    /S    : Search the pathname including all subfolders.
    /D    : Process folders as well
    /L    : Work on the attributes of the symbolic link versus the target of the Symbolic link.

   attributes: 
        R  Read-only (1)
        A  Archive (32)
        S  System (4)
        H  Hidden (2)

   extended attributes:
        B  SMB Blob Attribute
        E  Encrypted
        C  Compressed (128:read-only)
        I  Not content-indexed

        N  Normal (0: cannot be used for file selection)
        O  Offline
        P  Pinned Attribute This refers to the ""Always available on this device"" setting for OneDrive files.
        T  Temporary 
        X  No scrub file attribute
        U  Unpinned Attribute
        V  Integrity attribute"
I need to change file attributes,ATTRIB,Change file attributes,"Syntax
      ATTRIB [ + attribute | - attribute ] [pathname] [/S [/D]] [/L]

Key
     +    : Turn an attribute ON
     -    : Clear an attribute OFF

 pathname : Drive and/or filename e.g. C:\*.txt
    /S    : Search the pathname including all subfolders.
    /D    : Process folders as well
    /L    : Work on the attributes of the symbolic link versus the target of the Symbolic link.

   attributes: 
        R  Read-only (1)
        A  Archive (32)
        S  System (4)
        H  Hidden (2)

   extended attributes:
        B  SMB Blob Attribute
        E  Encrypted
        C  Compressed (128:read-only)
        I  Not content-indexed

        N  Normal (0: cannot be used for file selection)
        O  Offline
        P  Pinned Attribute This refers to the ""Always available on this device"" setting for OneDrive files.
        T  Temporary 
        X  No scrub file attribute
        U  Unpinned Attribute
        V  Integrity attribute"
How do I manage audit policies?,AUDITPOL,Manage audit policies,"Syntax
      AUDITPOL /backup /file:filename

      AUDITPOL /clear [/y]

      AUDITPOL /get [/user[:username | {sid}]] [/category:* | name | {guid}[,:name | {guid} ]]
         [/subcategory:* | name | {guid}[,:name | {guid} ]] [/option:option name] [/sd] [/r]

      AUDITPOL /list [ /user | /category | subcategory[:categoryname|{guid}|*] ] [/v] [/r]

      AUDITPOL /remove [/user[:username|{SID}]] [/allusers]

      AUDITPOL /resourceSACL [/set /type:resource [/success] [/failure]
                  /user:user [/access:access_flags]] [/remove /type:resource /user:user [/type:resource]]
                     [/clear [/type:resource]] [/view [/user:user] [/type:resource]]

      AUDITPOL /restore /file:filename

      AUDITPOL /set [/user[:username | {sid}] [/include] [/exclude]]
          [/category:name | {guid}[,:name | {guid} ]] [/success:enable |disable] [/failure:enable | disable]
             [/subcategory:name | {guid}[,:name|{guid} ]] [/success:enable | disable] [/failure:enable | disable]
                [/option:option_name /value: enable|disable]

Key
   /allusers   Remove the per-user audit policy for all users.

   /category
           Display or set one or more audit categories by globally unique identifier (GUID) or name.
           An asterisk (*) may be used to indicate that all audit categories should be queried.
           If used with /v , the category globally unique identifier (GUID) is also displayed.
           If no user is specified, the system policy is set.

   /clear  Remove all entries from the global object access auditing list.

   /exclude
           Specified with /user; indicates that the user’s per-user policy will cause an audit to be
           suppressed regardless of the system audit policy.
           This setting is ignored for users who are members of the local Administrators group.

   /subcategory
           Display or set one or more audit subcategories by GUID or name.
           If no user is specified, the system policy is set.

   /failure
           Specifies failure auditing. This setting must be used with a parameter indicating whether
           to enable or disable the setting.

   /file:filename
           A file name for the backup or restore.


   /include
           Specified with /user; indicates that the user’s per-user policy will cause an audit to be
           generated even if it is not specified by the system audit policy.
           This setting is the default and is automatically applied if neither the /include nor /exclude
           parameters are explicitly specified.

   /option Set or Retrieve the existing policy for the CrashOnAuditFail, FullprivilegeAuditing,
           AuditBaseObjects, or AuditBasedirectories options.

   /r      Display the output in comma-separated value (CSV) format.

   /remove Remove all entries for the given user in the global object access auditing list.

   /set    Add a new entry or update an existing entry in the resource SACL for the resource type specified.

   /sd     Set or Retrieve the security descriptor used to delegate access to the audit policy.
           When setting, the security descriptor must be specified by using the Security Descriptor Definition
           Language (SDDL). The security descriptor must have a discretionary access control list (DACL).

   /success
           Specifies success auditing. This setting is the default and is automatically applied if
           neither the /success nor /failure parameters are explicitly specified.
           This setting must be used with a parameter indicating whether to enable or disable the setting.

   /user   Display or set the security principal for a per-user audit policy.
           Either the /category or /subcategory parameter must be specified.
           The user may be specified as a security identifier (SID) or name.
           If no user account is specified, then the system audit policy is queried.
           If used with /v , the security identifier (SID) of the user is also displayed. 

   /v      Display the GUID with the category or subcategory, or when used with /user, displays the SID
           of each user.

   /view   List the global object access auditing entries in a resource SACL.
           The user and resource types are optional.

   /y      Suppress the prompt to confirm if all audit policy settings should be cleared."
